日期,收盘,开盘,高,低,交易量,涨跌幅
2022/1/1,"1,867.50","1,872.50","1,944.50","1,718.30",25.15M,2.75%
2021/12/1,"1,817.50","1,759.50","1,877.50","1,689.50",22.17M,3.41%
2021/11/1,"1,757.50","1,943.00","2,020.00","1,748.00",26.66M,-8.89%
2021/10/1,"1,929.00","1,790.50","1,931.00","1,781.00",17.76M,6.28%
2021/9/1,"1,815.00","1,882.50","1,977.00","1,724.00",19.92M,-2.39%
2021/8/1,"1,859.50","2,089.00","2,199.00","1,804.00",18.78M,-9.91%
2021/7/1,"2,064.00","2,037.00","2,129.00","1,919.50",19.79M,-0.10%
2021/6/1,"2,066.00","2,152.00","2,267.00","2,024.00",16.65M,-3.28%
2021/5/1,"2,136.00","2,068.00","2,211.00","1,887.00",16.28M,3.64%
2021/4/1,"2,061.00","1,900.00","2,116.00","1,894.40",12.40M,8.56%
2021/3/1,"1,898.50","1,836.00","2,185.00","1,815.00",22.04M,4.57%
2021/2/1,"1,815.50","1,729.50","1,904.00","1,683.50",17.56M,5.64%
2021/1/1,"1,718.50","1,822.00","1,880.50","1,673.50",23.01M,-3.97%
2020/12/1,"1,789.50","1,740.00","1,915.00","1,725.00",21.83M,3.50%
2020/11/1,"1,729.00","1,349.50","1,765.50","1,324.80",36.27M,27.51%
2020/10/1,"1,356.00","1,566.50","1,605.00","1,336.00",21.83M,-12.74%
2020/9/1,"1,554.00","1,445.00","1,623.50","1,379.50",24.75M,7.58%
2020/8/1,"1,444.50","1,257.50","1,471.50","1,240.50",22.86M,15.33%
2020/7/1,"1,252.50","1,605.50","1,689.50","1,231.50",36.63M,-21.69%
2020/6/1,"1,599.50","1,520.00","1,732.00","1,453.00",26.95M,6.95%
2020/5/1,"1,495.50","1,362.00","1,599.50","1,256.00",28.21M,7.59%
2020/4/1,"1,390.00","1,286.00","1,498.50","1,209.00",30.63M,4.95%
2020/3/1,"1,324.50","1,719.00","1,736.50","1,017.00",56.76M,-19.68%
2020/2/1,"1,649.00","1,966.50","2,075.00","1,581.00",32.55M,-15.57%
2020/1/1,"1,953.00","2,224.00","2,340.00","1,918.00",30.44M,-11.43%
2019/12/1,"2,205.00","2,090.00","2,270.00","1,951.00",22.22M,4.80%
2019/11/1,"2,104.00","2,042.00","2,245.00","1,979.50",29.71M,2.94%
2019/10/1,"2,044.00","2,184.00","2,199.00","1,856.30",31.97M,-5.98%
2019/9/1,"2,174.00","2,162.00","2,292.00","2,053.50",24.47M,0.46%
2019/8/1,"2,164.00","2,250.00","2,334.00","2,050.00",24.02M,-4.21%
2019/7/1,"2,259.00","1,885.00","2,362.00","1,869.00",37.50M,21.32%
2019/6/1,"1,862.00","1,687.00","1,868.00","1,678.00",33.67M,9.85%
2019/5/1,"1,695.00","2,020.00","2,023.00","1,687.00",24.97M,-15.96%
2019/4/1,"2,017.00","1,961.50","2,040.00","1,876.50",18.33M,3.20%
2019/3/1,"1,954.50","1,900.00","1,979.50","1,815.50",24.52M,3.44%
2019/2/1,"1,889.50","1,804.50","1,992.50","1,793.00",21.63M,4.88%
2019/1/1,"1,801.50","1,715.50","1,847.00","1,618.50",28.09M,3.80%
2018/12/1,"1,735.50","1,830.00","1,882.50","1,654.50",24.18M,-2.31%
2018/11/1,"1,776.50","1,811.00","1,935.00","1,709.50",40.81M,-1.91%
2018/10/1,"1,811.00","2,009.00","2,058.00","1,636.00",47.06M,-10.12%
2018/9/1,"2,015.00","2,246.00","2,262.00","1,955.50",41.92M,-9.88%
2018/8/1,"2,236.00","2,111.00","2,347.20","2,056.70",33.69M,6.12%
2018/7/1,"2,107.00","2,149.00","2,185.00","1,996.00",45.98M,-2.45%
2018/6/1,"2,160.00","2,083.00","2,186.00","2,062.00",40.19M,4.40%
2018/5/1,"2,069.00","1,810.00","2,082.00","1,737.50",65.57M,13.46%
2018/4/1,"1,823.50","1,684.00","1,840.00","1,670.00",31.61M,7.52%
2018/3/1,"1,696.00","1,535.50","1,721.00","1,531.00",43.95M,10.60%
2018/2/1,"1,533.50","1,586.00","1,589.50","1,481.50",35.72M,-2.88%
2018/1/1,"1,579.00","1,794.00","1,817.50","1,576.00",54.44M,-11.89%
2017/12/1,"1,792.00","1,709.00","1,801.00","1,692.00",29.82M,4.43%
2017/11/1,"1,716.00","1,903.00","2,024.00","1,702.00",69.03M,-9.78%
2017/10/1,"1,902.00","1,767.00","1,952.00","1,764.00",40.79M,8.07%
2017/9/1,"1,760.00","1,799.00","1,816.00","1,718.60",35.62M,-2.06%
2017/8/1,"1,797.00","1,712.00","1,809.00","1,708.00",29.85M,5.03%
2017/7/1,"1,711.00","1,661.00","1,743.00","1,580.00",42.71M,3.01%
2017/6/1,"1,661.00","1,826.00","1,831.00","1,645.00",54.60M,-8.48%
2017/5/1,"1,815.00","1,617.00","1,879.00","1,558.00",38.62M,12.45%
2017/4/1,"1,614.00","1,738.00","1,803.00","1,543.00",39.25M,-6.38%
2017/3/1,"1,724.00","1,738.00","1,838.00","1,724.00",35.02M,-0.12%
2017/2/1,"1,726.00","1,655.00","1,763.00","1,607.30",30.22M,5.24%
2017/1/1,"1,640.00","1,500.00","1,692.00","1,439.00",51.96M,9.55%
2016/12/1,"1,497.00","1,428.00","1,498.00","1,391.40",38.14M,4.76%
2016/11/1,"1,429.00","1,477.00","1,489.00","1,367.00",53.27M,-3.12%
2016/10/1,"1,475.00","1,376.00","1,567.00","1,348.60",84.25M,6.96%
2016/9/1,"1,379.00","1,305.00","1,435.10","1,228.00",60.11M,5.75%
2016/8/1,"1,304.00","1,321.00","1,377.00","1,277.00",31.90M,-1.21%
2016/7/1,"1,320.00","1,169.00","1,364.00","1,136.00",55.67M,13.79%
2016/6/1,"1,160.00","1,073.00","1,187.00","1,039.00",62.49M,8.01%
2016/5/1,"1,074.00","1,190.00","1,202.00","1,068.00",53.35M,-9.67%
2016/4/1,"1,189.00","1,347.00","1,350.00","1,189.00",45.81M,-12.89%
2016/3/1,"1,365.00","1,318.00","1,468.00","1,313.00",44.86M,3.41%
2016/2/1,"1,320.00","1,195.00","1,324.10","1,109.00",58.95M,10.46%
2016/1/1,"1,195.00","1,189.00","1,220.00","1,047.00",57.94M,0.00%
2015/12/1,"1,195.00","1,249.00","1,267.00","1,119.00",34.90M,-4.02%
2015/11/1,"1,245.00","1,319.00","1,394.00","1,189.00",40.39M,-6.25%
2015/10/1,"1,328.00","1,378.00","1,512.00","1,236.00",44.12M,-2.92%
2015/9/1,"1,368.00","1,387.00","1,464.00","1,309.00",41.41M,-3.05%
2015/8/1,"1,411.00","1,605.00","1,622.00","1,312.00",39.01M,-12.31%
2015/7/1,"1,609.00","1,580.00","1,629.00","1,506.00",32.63M,2.42%
2015/6/1,"1,571.00","1,697.00","1,716.00","1,568.00",30.04M,-7.32%
2015/5/1,"1,695.00","1,750.00","1,822.00","1,683.00",32.98M,-2.81%
2015/4/1,"1,744.00","1,729.00","1,848.00","1,700.00",32.62M,0.63%
2015/3/1,"1,733.00","1,867.00","1,904.00","1,729.00",25.53M,-7.43%
2015/2/1,"1,872.00","1,738.00","1,929.00","1,729.00",24.60M,8.27%
2015/1/1,"1,729.00","1,650.00","1,790.00","1,585.00",28.32M,5.68%
