日期,收盘,开盘,高,低,交易量,涨跌幅
2022/3/1,649.4,659,675.2,543.9,14.31M,-1.59%
2022/2/1,659.9,721,738.5,625,9.53M,-8.68%
2022/1/1,722.6,734,758.5,661.7,9.62M,-0.61%
2021/12/1,727,690,735.3,674.4,7.49M,5.88%
2021/11/1,686.6,680,741.6,645,9.78M,1.39%
2021/10/1,677.2,614,677.2,610,8.01M,9.21%
2021/9/1,620.1,631.9,674.5,605.4,10.19M,-1.07%
2021/8/1,626.8,678.9,716.6,610.5,9.52M,-6.99%
2021/7/1,673.9,665.2,692,631.7,7.98M,1.91%
2021/6/1,661.3,655.6,698.9,646.4,7.19M,1.43%
2021/5/1,652,627.3,660.5,600,7.24M,4.12%
2021/4/1,626.2,573.7,639.9,566.1,7.64M,10.23%
2021/3/1,568.1,530,573.5,518.7,9.01M,8.21%
2021/2/1,525,505,545.2,501.6,7.23M,5.36%
2021/1/1,498.3,516.2,525.3,489.05,9.20M,-2.47%
2020/12/1,510.9,487,517.2,484.4,8.58M,5.80%
2020/11/1,482.9,402.3,499.5,399.45,12.51M,20.03%
2020/10/1,402.3,404.2,440.3,396.3,9.72M,0.73%
2020/9/1,399.4,395.1,427.9,390.7,11.11M,1.68%
2020/8/1,392.8,366.45,404.55,364.5,7.21M,7.10%
2020/7/1,366.75,391.35,418.3,365.95,11.01M,-6.08%
2020/6/1,390.5,383.35,405.2,363.75,16.25M,4.13%
2020/5/1,375,345,387.3,324.3,12.07M,6.40%
2020/4/1,352.45,328,364.3,316.1,13.38M,4.14%
2020/3/1,338.45,385,388.8,278.7,35.22M,-8.74%
2020/2/1,370.85,394.65,424.7,353.15,16.58M,-6.19%
2020/1/1,395.3,418,439.05,394.1,12.23M,-4.56%
2019/12/1,414.2,408,419.5,386.6,9.95M,1.69%
2019/11/1,407.3,384.5,411.05,384.2,9.05M,6.48%
2019/10/1,382.5,366.8,389.6,344,12.08M,4.90%
2019/9/1,364.65,362.25,384.2,353.65,11.32M,0.62%
2019/8/1,362.4,373,379.3,341,15.07M,-3.44%
2019/7/1,375.3,380.15,392.65,371.1,11.86M,0.27%
2019/6/1,374.3,335.3,375.25,330.4,13.11M,10.54%
2019/5/1,338.6,349.45,355.05,323.05,13.51M,-2.99%
2019/4/1,349.05,332.5,354.35,327.15,12.24M,6.45%
2019/3/1,327.9,305,330.4,285.7,13.10M,8.58%
2019/2/1,302,282.5,305,280.3,12.52M,7.95%
2019/1/1,279.75,254.05,280,243.65,16.02M,8.35%
2018/12/1,258.2,260.5,269.05,242.3,14.58M,2.24%
2018/11/1,252.55,268.8,280.7,249.75,15.15M,-6.05%
2018/10/1,268.8,304.55,307.95,256.15,20.45M,-11.75%
2018/9/1,304.6,299.5,310.25,278.6,13.41M,0.91%
2018/8/1,301.85,299,312.6,290,10.28M,1.00%
2018/7/1,298.85,283.05,310.2,281,11.93M,4.79%
2018/6/1,285.2,300.55,311.5,278.6,14.62M,-3.99%
2018/5/1,297.05,290.15,313.7,289.1,12.71M,2.68%
2018/4/1,289.3,249.05,289.3,248.7,14.00M,15.63%
2018/3/1,250.2,246,253.65,237.55,12.76M,1.50%
2018/2/1,246.5,253.8,253.95,232.5,15.26M,-2.41%
2018/1/1,252.6,245.65,254.6,238,13.68M,2.93%
2017/12/1,245.4,245,254.7,242.05,10.91M,0.37%
2017/11/1,244.5,256.65,260.55,243.35,13.25M,-4.53%
2017/10/1,256.1,233.55,256.95,229.7,11.77M,9.70%
2017/9/1,233.45,221.95,233.45,215.8,11.20M,5.99%
2017/8/1,220.25,214.5,223.75,212.9,12.27M,3.55%
2017/7/1,212.7,219.5,224.85,211.9,16.27M,-2.57%
2017/6/1,218.3,227.5,235.1,217.9,13.96M,-3.90%
2017/5/1,227.15,227,239.65,224.85,13.64M,0.29%
2017/4/1,226.5,205.95,227.65,202.85,14.06M,10.03%
2017/3/1,205.85,191.35,205.85,191.35,12.55M,8.66%
2017/2/1,189.45,188.8,193.7,181.95,10.84M,1.53%
